fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 19:23:36,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Independencia,Av. Presidente Eduardo Frei Montalva,-33.416372,-70.678542
2025-04-30 19:24:12,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Cerrillos,Av. Suiza,-33.482467,-70.696977
2025-04-30 19:24:10,Tráfico,,Otro,San Bernardo,Av. Las Acacias,-33.558892,-70.711522
2025-04-30 19:22:38,Policía,,Otro,Santiago,Av. España,-33.449868,-70.670177
2025-04-30 19:20:20,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Cerrillos,Av. Américo Vespucio,-33.508232,-70.72525
2025-04-30 19:24:23,Conversación,,Otro,Estación Central,Embajador Quintana,-33.450885,-70.698665
2025-04-30 19:24:43,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Quilicura,Av. San Ignacio,-33.333886,-70.714089
2025-04-30 19:22:28,Peligro,HAZARD_ON_ROAD,Otro,Quilicura,Av. Presidente Eduardo Frei Montalva,-33.334257,-70.715023
2025-04-30 19:22:45,Policía,,Otro,Estación Central,Embajador Quintana,-33.450904,-70.698349
2025-04-30 19:19:56,Conversación,,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.449668,-70.67492
2025-04-30 19:23:10,Peligro,HAZARD_ON_ROAD,Otro,Estación Central,Av. Gladys Marín Millie,-33.467374,-70.730641
2025-04-30 19:21:11,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,El Bosque,General Körner,-33.550739,-70.674761
2025-04-30 19:21:17,Conversación,,Otro,Santiago,Av. Matucana,-33.43864,-70.680095
2025-04-30 19:25:22,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Quinta Normal,Salvador Gutiérrez,-33.426672,-70.693052
2025-04-30 19:20:06,Policía,,Otro,Quinta Normal,Entre Ríos,-33.427647,-70.699104
2025-04-30 19:20:08,Conversación,,Otro,Santiago,Av. Libertador Bernardo O'Higgins,-33.449633,-70.673685
2025-04-30 19:20:49,Tráfico,,Otro,Lampa,Av. Presidente Eduardo Frei Montalva,-33.31094,-70.725577
2025-04-30 19:24:44,Peligro,HAZARD_WEATHER,Otro,Quilicura,,-33.356749,-70.728888
2025-04-30 19:24:24,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,San Bernardo,Av. Las Acacias,-33.558826,-70.712254
2025-04-30 19:22:19,Policía,,Otro,Huechuraba,Camino al Bosque de Santiago,-33.380755,-70.621332
2025-04-30 19:25:25,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,La Cisterna,Gran Avenida José Miguel Carrera,-33.53971,-70.66497
2025-04-30 19:23:46,Policía,,Otro,El Bosque,Alejandro Guzmán,-33.555132,-70.668146
2025-04-30 19:23:26,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Santiago,Av. Libertador Bernardo O'Higgins,-33.445551,-70.656567
2025-04-30 19:19:35,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Santiago,Carmen,-33.449531,-70.641687
2025-04-30 19:22:06,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Marín,-33.445254,-70.631981
2025-04-30 19:21:21,Conversación,,Otro,Santiago,Morandé,-33.433298,-70.654587
2025-04-30 19:24:18,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Santiago,Santiago,-33.462722,-70.656042
2025-04-30 19:22:39,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Santiago,San Ignacio de Loyola,-33.476357,-70.654044
2025-04-30 19:21:03,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Marín,-33.445116,-70.631192
2025-04-30 19:20:55,Peligro,HAZARD_ON_ROAD_POT_HOLE,Hueco,San Joaquín,Llico,-33.504666,-70.626326
2025-04-30 19:22:36,Tráfico,,Otro,La Cisterna,Av. Lo Ovalle,-33.514045,-70.660185
2025-04-30 19:24:28,Tráfico,,Otro,San Ramón,Av. Américo Vespucio,-33.542423,-70.635931
2025-04-30 19:22:35,Peligro,HAZARD_ON_ROAD_CONSTRUCTION,Otro,Providencia,Av. Eliodoro Yáñez,-33.43345,-70.61804
2025-04-30 19:22:23,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Providencia,Av. Santa María,-33.418686,-70.611338
2025-04-30 19:21:00,Policía,,Otro,La Cisterna,Pintados,-33.533023,-70.656139
2025-04-30 19:21:50,Policía,,Otro,Santiago,Dieciocho,-33.450031,-70.657564
2025-04-30 19:19:33,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Providencia,Condell,-33.443337,-70.626914
2025-04-30 19:23:12,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,La Cisterna,Gran Avenida José Miguel Carrera,-33.536641,-70.664369
2025-04-30 19:20:36,Policía,,Otro,La Cisterna,2 Oriente,-33.53309,-70.656604
2025-04-30 19:22:02,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Providencia,Monseñor Carlos Casanueva,-33.420643,-70.617676
2025-04-30 19:23:17,Accidente,,Otro,Santiago,Franklin,-33.473208,-70.647102
2025-04-30 19:23:17,Policía,,Otro,San Miguel,Rivas,-33.47876,-70.647152
2025-04-30 19:21:34,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Providencia,Av. Pedro de Valdivia,-33.429541,-70.610122
2025-04-30 19:22:18,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Providencia,Av. Pedro de Valdivia,-33.429076,-70.610303
2025-04-30 19:24:05,Conversación,,Otro,Santiago,San Antonio,-33.438012,-70.648389
2025-04-30 19:23:12,Policía,,Otro,Santiago,Franklin,-33.473208,-70.647106
2025-04-30 19:23:44,Policía,POLICE_HIDING,Otro,La Granja,Av. Cardenal Raúl Silva Henríquez,-33.549258,-70.618109
2025-04-30 19:23:54,Policía,,Otro,Huechuraba,José Carrasco Tapia,-33.388574,-70.632824
2025-04-30 19:19:49,Policía,,Otro,La Cisterna,2 Oriente,-33.534816,-70.657194
